Seed,Team
1,UConn
1,UCLA
1,Texas
1,South Carolina
2,Vanderbilt
2,LSU
2,Michigan
2,Iowa
3,Ohio State
3,Duke
3,Louisville
3,Texas Christian
4,North Carolina
4,Minnesota
4,West Virginia
4,Oklahoma
5,Maryland
5,Mississippi
5,Kentucky
5,Michigan State
6,Notre Dame
6,Baylor
6,Alabama
6,Washington
7,Illinois
7,Texas Tech
7,NC State
7,Georgia
8,Iowa State
8,Oklahoma State
8,Oregon
8,Clemson
9,Syracuse
9,Princeton
9,Virginia Tech
9,USC
10,Colorado
10,Villanova
10,Tennessee
10,Virginia
10,Arizona State
11,Fairfield
11,Nebraska
11,Richmond
11,Rhode Island
11,South Dakota State
12,Murray State
12,Gonzaga
12,James Madison
12,Colorado St.
13,Western Illinois
13,Green Bay
13,Miami (OH)
13,Idaho
14,Howard
14,Charleston
14,Vermont
14,UC San Diego
15,High Point
15,Jacksonville
15,Holy Cross
15,Fairleigh Dickinson
16,UT-San Antonio
16,California Baptist
16,Missouri State
16,Stephen F. Austin
16,Southern
16,Samford
